,text,score
69,Sorry LA. I meant that for Washington.,120640
70,"I might throw in some frogs, too. https://t.co/s6NYyTLKsz",72441
71,"There is life in outer space, and it's intelligent, and that's why it's staying far away from you.",39524
72,"Is life fair? Short answer, no. Long answer, nooooooo.",45997
73,Fuck these fucking motherfuckers.,39719
74,Rainbows are My way of reminding humanity of three things:1. They’re here.2. They’re queer.3. Get used to it.#PrideNYC,50537
75,Be the change you wish to see in the world.Make yourself 2.5°C colder.,39641
76,"The answer to the question ""Can people really be that stupid?"" is always yes.",61548
77,People seemed like a good idea at the time.,52568
78,Never let the fear of failure keep you from failing.,31045
79,"The President of the United States is a ra_ist.Two different letters correctly fill in that blank.Although, of course, neither should.",50973
80,I feel like the President of the United States shouldn't be a rapist maybe? I don't know.,55592
81,Retweet this and win eternal life in heaven!**(Subject to Bible law. Some commandments apply. Must be Christian to enter. Offer not valid with other holy books. Your salvation may vary. Not available in all states of consciousness.),19567
82,"Alexa, end it all.",52256
83,You are 100% biodegradable.,40304
84,Freedom of speech includes the freedom to say that someone else is using his freedom of speech to be stupid.,35990
85,"As My own son, I bought Myself a necktie for Father's Day. And as My own father, I insincerely thanked Myself and walked away disappointed yet again.",41083
86,"Happy birthday to President Trump, who is a fucking piece of shit.",95978
87,IN TRUMP’S ROLODEX* Prince of Whales* Dolly Llama* Prime Minister True Dough* Emmanuel Macaroni* Angela Marble* Benjamin Not-on-Yahoo* King Salmon* The Poop,35967
88,"Never be afraid of failure. After all, everyone’s expecting you to fail anyway, what with you being such a loser.",31928
89,Just because the person on the other side of the argument is completely wrong doesn't mean you aren't also completely wrong.,40179
90,"""Hello God"".Please.Don't try to make all kissy-kissy with Me now, Twitter. It's too late.You messed with the wrong Near Eastern Bronze Age sky-father-king projection.By the time I'm done with you, MYSPACE will laugh at your relevance. https://t.co/5tasH3X0t4",54703
91,"If gay people are a mistake, they're a mistake I've made hundreds of millions of times, which proves I'm incompetent and shouldn't be relied upon for anything.",131557
92,"What the fuck, Twitter.Seriously.What the fuck.What the fuck is this. https://t.co/NQwcRXFWg7",152710
93,"Give a man a fish, he'll eat for a day. Teach a man to fish, he'll contribute to the global overdepletion of the ocean. So give him a salad, maybe.",111323
94,"You are a fucking disgrace.“You” as in you as a species.You, personally, you’re alright.",45622
95,"The moon is not a part of Mars, but they both have as much intelligent life as the White House.",36298
96,The first step in saving life on earth is admitting you are the problem.,48543
97,Hate is a lifestyle choice.,37501
98,"At long last, the audiobook of the play of the book of the twitter account is here. Starring the incomparable Sean Hayes as Me. Listen, all of thee, to the Word of God.https://t.co/nb69DagQBR",1966
99,"White, black, brown, yellow, man, woman, transgender, gay, straight, Christian, Muslim, young, old, ALL of you will taste the same to the zombies.",69780
100,You would actually be doing something about climate change if deep down you didn’t think you deserved to go extinct.,27646
101,"Once you realize nothing makes sense, everything makes sense.",28614
102,"Praying for something implies that, despite My omniscience, I don't already know what you want.Prayer insults Me.",38449
103,"A reminder that untold thousands of boys and girls have been molested by Catholic priests and that they are the last people to be lecturing anyone about faith, morals, and what's harmful for children. https://t.co/Oht6xxn76s",85660
104,"If you're pro-gun, pro-death penalty and pro-life, you're also pro-hypocrisy.",62699
105,"This account doesn't mock God. This account IS God. I am the King of the Universe, the Alpha and the Omega, the First and the Last, the Beginning and the End, and just the shit in general.And if you don't believe Me, you can go to hell.Or Facebook.",83471
106,What happens after you die is pretty funny actually.,43919
107,Retweeting this will have a direct and immediate influence on your life.,20179
108,"Trust in Me and I will never let you down, because I can't, because I'm not real.",43370
109,"Abortion should only be permitted in cases of rape, incest, and when the woman chooses it.",136092
110,"You people love being poorly led, don't you.",40901
111,Democracy is too important to be left in the hands of the people. #IndianElections2019,24909
112,"If I had to pinpoint an exact moment when it all went wrong, I’d say Creation.",38011
113,"Congratulations India on completing the largest election in human history. Obviously you're not My territory, but I hear good things from Brahma.#ElectionResults2019",36160
114,"It's easy to blame others for your mistakes, so do that.",25464
115,There is no past.There is no future.There is only this moment.And now it’s gone.Nice. Nice job.,39010
116,"I don't create complex marine ecosystems in your landfills, so please don't dump shit in My oceans.",45421
117,"The people who think life begins at conception also think it began 6,000 years ago.",35463
118,People would rather destroy the planet than admit they’re wrong.,83433
119,I love you unconditionally under certain circumstances.,31039
120,Grumpy Cat is up with Me in heaven for eternity and he's still so fucking grumpy.,46010
121,"If I were truly pro-life, nothing would die.",35782
122,Nah. If you know My track record I’m actually more pro-death. https://t.co/jevGX9irz3,30754
123,"One abortion 2,000 years ago and this whole problem is solved.",62507
124,Life begins the moment you leave Alabama.,83237
125,You are worthless.Retweet if you occasionally agree!,36658
126,Saving the planet will require sacrifice and right now I'm thinking you.,35157
127,"If you think #GameofThrones is ending poorly, wait till you see how you finish off.",40528
128,By resigning. https://t.co/q6yWrKGRug,58000
129,"""God is good"" only in the same way that Bob is boob.",32487
130,I created the entire universe for the sake of one subgroup of one species on one planet in one solar system in one galaxy.,64486
131,What the fuck is wrong with Me? https://t.co/hN9PwxGx7Q,112245
132,Thou shalt never walk alone. #LIVBAR,30234
133,"Retweet this retweet of ""Retweet this complaint about 'retweet this or I'll kill you' or I'll kill you"" or I'll kill you. https://t.co/M4PJH5FocD",16158
134,"Retweet this complaint about ""retweet this or I'll kill you"" or I'll kill you. https://t.co/mpcaRnOZat",37475
135,"If you think life has no meaning, wait till you try death.",43416
136,I don’t know what else I can not do to prove I don’t exist.,47317
137,"If there were a shot that cured stupid, anti-vaxxers still wouldn’t take it.",32337
138,"Retweet this or I’ll kill you.Sorry, but you left Me with many other choices, of which this is My favorite.",19557
139,I’m hearing a lot of feedback from dead animals that plastic is less delicious than it looks.,55203
140,"People who are wrong are just as sure they're right as people who are right. The only difference is, they're wrong.",28987
141,Never underestimate the ability of things to get worse.,54583
142,"At a certain point, shut up.",31586
143,I don't want a personal relationship with you. And neither does Jesus. Don't talk to us.,49374
144,Retweet this for a 10% discount on how good a life you need to lead to get into heaven. (Limit one RT per sinner.),16483
145,"At the end of the day, it's 11:59pm.",43330
146,"Once you start allowing gay people to marry, what's next? Going on with your life in exactly the same way you did before? #slipperyslope",50364
147,"Marriage is between a man and a woman.Except gay marriage, obviously.",71230
148,"There is no life after death, and often, not much life before it either.",34465
149,I have little to no idea what I’m doing.,33188
150,The next time I create mankind I'll conduct an environmental impact study first.,73821
151,"Most homophobes are secretly gay. However, most arachnophobes are not secretly spiders.",59389
152,This #EarthDay give the planet what it really wants: the spontaneous disappearance of 99% of you.,29627
153,"You keep acting as if I like some of you but not others of you when, in fact, I like none of you.",38958
154,#Happy420! I created cannabis for you. The Garden of Eden was full of it. In fact that was Eve's downfall. She got the munchies.,44637
155,Human beings are the only species on earth who are all a bunch of morons.,62711
156,"It wasn’t a #GoodFriday for Jesus, I can tell you that.",35875
157,It’s weird being an atheist when you have My job.,44590
158,Only Beyoncé can save you now.,28927
159,"If anyone ever tells you I talked to them, tell them you talked to Me, and I told you to tell them I wasn't talking to them, and shut up.",38471
160,"You can do something about climate change.You won’t, though.",33735
161,Male nipples are unnecessary. As are males.,49505
162,"If you think the picture of the black hole is cool, wait till next week, when you get to photograph it from the inside.",32089
163,"India, good luck as you hold the largest election in human history.Now leave Me the hell out of it.",36750
164,Artificial intelligence isn't a threat to humanity. Natural stupidity is.,77513
165,On this day in 1865 the Civil War ended.Many people seem to have not been notified of this.,40670
166,The idea that you evolved from apes is disgusting. Isn't it nicer to believe you all descended from one couple and their incestuous children?,70037
167,Next time no assholes.,34256
168,When animals work together there's nothing they can't do! https://t.co/RkyQ7zQLzz,53248
169,"It’s a well-known fact that the world is full of stupid people, but what may surprise you is you are one of them.",44948
170,The biggest misconception about Me is that I give a shit.,39109
171,If I am not constantly told how great I am I get angry because even though I am omnipotent and omniscient I am emotionally insecure.,35050
172,Saving your planet and yourselves will require nothing less than a total and immediate transformation of human consciousness.Good luck with that.,39976
173,Nope. I'm winging it. https://t.co/ot6xDCJ4n1,55003
174,You should not vaccinate your children unless you are absolutely sure you want them to live.,72615
175,You are your own punishment.,39759
176,Orgasms are My way of apologizing for everything else.,44118
177,You guys ruled half the world?Really? Unbelievable. #Brexit,55281
178,Somewhere out there is one sensitive white churchgoer. https://t.co/uvTuX53t2p,38681
179,I also killed 23 people in the same tornado. Do you see the problem? https://t.co/vACuxfPlNH,27959
180,I never would have made you this smart if I knew you were going to be this stupid.,41007
181,"Just to answer a few recent prayers:No.No.Maybe.No.I'll see what I can do.Are you kidding?!?Sure, that would be funny for Me.Reply hazy. Ask again later.No.No.",39238
182,Church is for losers.,32447
183,"Try not to take yourself too seriously. After all, you're an idiot.",92716
184,"No. No, it's not. https://t.co/ezfl43gqxt",55865
185,It's the people who believe I created the world that make Me wish I hadn't.,34206
186,People who think I'm leading them shouldn't be leading others.,39456
187,"“If a man meets a virgin who is unmarried and rapes her and they are discovered, he shall pay her father fifty shekels of silver. He must marry the young woman, for he has violated her.” - Deuteronomy 22:28-29.Now THAT’S empowerment! https://t.co/VkC3eL6vrJ",23114
188,"If someone slaps you on one cheek, turn to him the other, but then at the last minute duck your head and kick him in the nuts.",26535
189,Be careful what you wish for: you just might get it. Kidding! You won't get it.,42865
190,Wow. He even found a way for the US to lose in Vietnam again.,37693
191,"I did awful things and then signed a book deal, and I've never looked back.",31633
192,"""You can succeed if you work hard,"" say people who succeeded by cheating and getting lucky.",41693
193,"India and Pakistan, try not to start World War III down there, alright? I got a big meteor coming soon and I don't want you stealing My thunder.",56083
194,How is church still a thing?,42720
195,Retweet this to show you love Me.Please. I'm sad and lonely and this Twitter account is all I have anymore.,23980
196,"If you say something stupid and then defend it by saying ""I have a right to say it,"" you've now said two stupid things.",43939
197,"I'm leaving. Messi, take over.",153415
198,You are entitled to your opinion but it's wrong and you're stupid.,34659
199,"It's not that people use only 10% of their brains, it's that only 10% of people use their brains.",44990
200,I created mankind to spend half its time praising Me and the other half killing each other over who praised Me better.,52102
201,It's rare to see a national emergency declared by a national emergency.,27028
202,Everything happens for a reason you make up afterwards.,36201
203,Overwhelming evidence suggests many people choose to ignore overwhelming evidence.,27137
204,It's always the people who believe I exist who provide the strongest evidence I don't.,37632
205,"Happy birthday to Charles Darwin, who would have been 210 today.210, and extremely disappointed.",65902
206,I genuinely don't remember making you all this stupid.,122061
207,90% of you need to die immediately.,42266
208,Let Me tell you about the birds and the bees.You are killing them all. https://t.co/m7V7z3kKcW,20866
209,Life goes on.Sorry.,32018
210,"Sex before marriage is against My commandments, and that's what makes it so hot.",42683
211,What if I told you the secret to all of life's mysteries was only one click and $10.99 away?It is.https://t.co/BmLE8n792y,2350
212,Every word in the Bible is literally true. Then they start grouping themselves into sentences and you've got yourself a problem.,47842
213,"You know how stupid and awful other people can be, but it might surprise you to learn how stupid and awful you can be too.",28456
214,Imagine walking in on 4 million people masturbating every minute and you'll begin to understand why I'm sick of My job.,39461
215,“Fuck you” is a whole lot more intellectually honest than “I will pray for you”.,61974
216,Many of the people who live in your country are morons.,31723
217,"White people and black people and brown people and yellow people and red people are all inherently equal and human and glorious in My sight.Orange people though, fuck them to hell. #SOTU2019",31546
218,It must have been Jesus. He feels embarrassed. https://t.co/lp7LaKRqQa,57349
219,"Jesus just told Me that dying for your sins was a colossal waste of time and he should have spent his time on earth making money and getting laid.It took 2,000 years to get him to admit that.",46115
220,The people who believe the world will end all at once will be the cause of it ending gradually.,30180
221,I did not want Donald Trump to be president.I can’t believe I have to say that.,65305
222,"Fuck her, and fuck him, and fuck them all.",31807
223,"Leave Me out of it, alright?See, this is exactly why I choose not to exist. https://t.co/B59vVx2FZz",37301
224,"Please retweet this on behalf of #BellLetsTalk . Every RT raises 5¢ towards mental health initatives in Canada.So many innocent Canadians are getting ""contact insanity"" through their 4,000-mile-long borderline-personality disorder.Let's give these hosers help. And grace, too.",19162
225,"Actually, the frigid temperatures are due to a polar vortex split caused by misplaced Moroccan heat leading to sudden stratospheric warming, you cosmic dipshit, you cringing vermin, you fetid clump of congealed ooze. https://t.co/NjJ2MvXFLo",48451
226,A lot of white people need to work harder at assimilating into the human race.,38393
227,#TrumpCaved. That is because @realDonaldTrump has very undersized genitals.Please RT so much that he reads this.,38164
228,How does it feel?How does it feel?To be all alone?With your cover blown?Your collusion shown?A complete self-own?Like a Roger Stone.,78371
229,Why don't poor people just have more money?,45343
230,"It is a pointless waste of energy to worry about the past. The future though, holy shit.",46550
231,My GPS sucks. https://t.co/CIpmXtsJIn,107022
232,"Atheists who mock Me as ""your imaginary friend"" are wrong. I'm not your friend.",50961
233,One day people will start a religion based on My son's actual teachings.,33149
234,I shudder to think what Jesus would go through if he went to a Catholic high school.,57450
235,It's important to remember that not every Catholic priest is a pedophile. Some of them are xenophobic racists! https://t.co/KWn5NTbiUh,23676
236,"Money can't buy happiness, but love can't buy a Ferrari either.",42095
237,"Retweet this and you'll go to heaven. Yes, the standards are now that low.",52642
238,HOW I MADE IT VS. HOW YOU SEE ITAnimals: MeatBirds: PoultryFish: SushiVegetables: Potato ChipsFruit: Fanta® Blue Raspberry Slurpee Trees (living): LumberTrees (dead): CoalPlankton (dead): OilSupernova residue: WeaponryGold: HappinessLand: PropertyOcean: Dumpster,43930
239,"Jesus saves, but @D_DeGea does it better.",36900
240,Being gay is not a choice but being an asshole is.,147891
241,It's humiliating to know you're the best I could do.,52127
242,"If ignorance is bliss, why is everyone so unhappy?",38113
243,Don't you fucking DARE put him on Me. https://t.co/b1UxwQOKaK,52278
244,I am shutting down the universe until you pay to build a wall around it.,36321
245,Retweet this and everything will magically get better.,47157
246,"Seriously though, we kid around a lot here on Twitter, but impeach the motherfucker.",71030
247,I have no interest in you or your life.,40301
248,"Despite all their disagreements, human beings are fundamentally stupid.",37368
249,Im little tipsy right now but I just want to thank all of you for following Me on twitter you guys are amazing and all kidding aside happy new year and I look forward to seeing you in March when the apocalypse comes and Jesus is telling Me to shut up cuz Im drunk but fuck you Jes,40943
250,"This year I'm going to be more of the kind of God that you deserve.Yes, that's a threat.",47547
251,"Wishing you all a happy and healthy 2020, because 2019 is going to suck.",54065
252,I admire the state of Alabama's single-minded determination to be great at college football and bad at everything else in the world.,40363
253,Retweeting this will be the last thing you'll ever do.,17294
254,I make this resolution every new year and then don’t follow through but I SWEAR 2019 will be the year I kill you all.,39912
255,Sex is a beautiful but sacred thing and you shouldn’t have it until you and your partner are absolutely sure you're horny.,36885
256,Sometimes I watch you in the shower.,36107
257,SHIT! I FORGOT JUNIOR'S BIRTHDAY!,122881
258,"On this date 2,018 years ago, nothing happened. Also it wasn't this date.",72801
259,"I do not love you. I hate you, Sarah Sanders. I can't stress this enough. https://t.co/N73aEnanuN",41996
260,Sometimes I wonder what I'm doing with your life.,38127
261,I know things look bad now but soon they will look good by comparison.,26929
262,"I won't stop tweeting until I have more followers than the Catholic Church has victims.I'll be here a while, is what I'm saying.",45399
263,"The Catholic Church is, in the most real and literal sense, an organized crime institution. https://t.co/nWXrAqjlcP",30248
264,"India, I'm not asking you to follow Me in real life. I know you already have 33 crore gods and you're not looking for one more. I just want you to follow Me on Twitter because there's 1.34 billion of you  and no one in the West believes in Me anymore and I'm very, very needy.",73825
265,My deepest hope is that one day there will be a world without war or hunger or injustice or human beings.,47272
266,And I'm about to take it for a better one. https://t.co/b3x8YdNFvU,43731
267,"If you have faith, and if you believe in something hard enough, and deeply enough, and with all your heart, so what.",33142
268,The key to successful prayer is asking for something that was going to happen anyway.,30912
269,In heaven Christmas songs play all day throughout the holiday season.In hell they play 24/7/365.,31140
270,These days I mostly just sit around and get high.,41962
271,Admission to heaven is 90% determined by spelling and grammar.,85765
272,NO! FAKE PRESIDENTS ARE! https://t.co/5tBDAafFA9,33811
273,"Anyone who says ""God is love"" is unfamiliar with My work.",44685
274,"And I'm 'worried' about a Pope who 'worries' about gays (not a problem) instead of legions of predatory pedophiles (big, big problem). https://t.co/IcXNVegGkw",34415
275,I'll stop tweeting obscenities when all of you stop being so fucking stupid.,66155
276,Don’t be the one asshole who doesn’t retweet this.,20216
277,"Hell is a journey, not a destination.",42259
278,"I just, I just hate all you so much. I really do. I don't know what else to say.",64100
279,"You are doomed. Not metaphorically or figuratively,but actually and literally. You are doomed because you’re destroying your planet and you’re too selfish to stop destroying it.Your species will soon perish.Have a nice day.https://t.co/acvEbWQwoR via @YahooNews",22108
280,"152,000 people will die today but not the one you want.",35964
281,How exciting it must be for you to see surface photos of a planet you haven’t screwed up. #MarsLanding,27686
282,America is the greatest country in the world at saying it is the greatest country in the world.,47152
283,In honor of the season all masturbation will be sin-free through Christmas. Happy holidays!,52025
284,90% of My time is spent adversely affecting the fortunes of your favorite team.,31278
285,America is in trouble—and it’s because people like Franklin Graham are involved in everything. Retweet if you agree. https://t.co/FZgFEP6OKU,33888
286,This Thanksgiving I am grateful to everyone who doesn’t believe in Me for trying to keep the world safe from everyone who does.,79847
287,"My followers are the absolute worst.In real life, I mean. You guys are ok.",49413
288,You were an accident.,60704
289,I dislike the vast majority of you.,109493
290,The worst natural disaster by far is all of you.,46200
291,Cool! Stan Lee is giving Me superpowers I never knew I had!,42269
292,"Yeah, I did put SOME thought into this, guys. https://t.co/8xrlp8cGMs",38492
293,Retweet this and I'll follow you. And watch you. And judge you. 24/7.,48959
294,How does anyone still believe in Me at this point? If I existed I’d find it absurd.,44320
295,"I won't be playing one in your afterlife, I can tell you that. https://t.co/1RBp4T1svf",73992
296,"I'd love to tell you this is a sign from Me, but it's actually just a promotion for a gay bar in Georgetown. https://t.co/Zn7TdAVOYV",102677
297,"No matter what country you’re from, half your countrymen are stupid.",42775
298,I’m bored. Look out.,32502
299,Every time you retweet Me an angel gets an orgasm.,32162
300,"When I start talking to you, you should start talking to a mental health professional.",46539
301,"Great job, humanity! You’re winning!https://t.co/Sva4sY7Mru",15377
302,I just tried banging on the side of the planet a few times but it didn't fix anything.,44699
303,The good news is the human race appears to be an isolated incident.,39446
304,"I know the Bible says I made you in My image but the truth is I made you in the image of My no-good cousin Kyle, who’s a jackass who owes Me money.",29182
305,"America, you really have to stop letting white guys into your country.",36629
306,"I’m not a parody account, you’re a parody species.",55160
307,Sooner or later you’re all going to die. I can’t stress this enough.,32507
308,Every Trump supporter is inherently a suspicious package.,27943
309,Women are human beings.Men are human beings.Transgender people are human beings.The Trump Administration are animals.,53057
310,"If I could do it again, bacon would be a plant.",56940
311,|￣￣￣￣￣￣￣￣￣￣￣|              Verify Me            you bastards.|＿＿＿＿＿＿＿＿＿＿＿|                 \ (•◡•) /                   \      /                     ---                    |   | https://t.co/xxzxZ3sXrG,50984
312,"All dogs go to heaven. And from now on, that's it.",52262
313,"Not true. Take yourself, for instance. https://t.co/IE1AoTEnCu",31756
314,"150 different species go extinct every single day. Even worse, you keep not being one of them.",61982
315,You should meet My son. https://t.co/2sgF75ycj0,44870
316,The performance of your favorite sports team is something about which I care tremendously.,33935
317,A few of you will end up killing all of you.,33249
318,"Just because Jesus died for your sins doesn’t mean you should keep committing them, assholes.",85740
319,"If history has taught mankind one thing, I’d be stunned.",54741
320,"Most people who doubt women's claims of assault do NOT doubt a 2,000-year-old book's claims that I had a son who rose from the dead.",163535
321,It’s getting to where men can’t do something awful without being accused of having done it.,57561
322,"This is My son. He graduated #1 in his class at Nazareth High. He is a gentleman who loves women and respects virgins like his mother. He is afraid to go on solo dates with women because he is afraid they will lie and say he made them wash his feet.That, plus he’s gay.#HimToo https://t.co/sMR88fggAQ",53660
323,"Don't worry America, everything will change after November 6, because that's when the asteroid hits.",36002
324,"Could all My Indian followers retweet this? I’m REALLY trying to leave America for good and Brahma said if I can prove I’m popular enough he’ll give me a place in the Hindu pantheon, or at least an Aadhaar.",55490
325,Where the hell am I?,46578
326,"Government: at the people, over the people, fuck the people.",36302
327,"Never forget that for every public official who is stupid and awful, there are thousands of ordinary citizens who are also stupid and awful.",40712
328,If I could create the world again I'd do it sober.,46777
329,THIS IS A TEST of the American constitutional system. Immediate action is needed.,33270
330,This is a scary time for young men who commit sexual assault and want to get away with it.,101756
331,"Every time you masturbate I’m watching, and maybe also masturbating.",50189
332,I think you should see other gods.,38666
333,Sometimes I wish I were real.,52557
334,What a bunch of assholes.,43368
335,I will be meeting in person with Chuck Grassley very shortly.,32940
336,Expect disappointment and you'll never be disappointed.,35284
337,He makes two excellent points. https://t.co/59IlZghJpm,21811
338,I could make things better but I just don't feel like it.,31687
339,"Today, in honor of #ConstitutionDay, impeach the President.",26479
340,"Well, well! Look who chooses to acknowledge Me after all these years. Hi, Twitter. I'm God. Give Me a blue tick or your little planet gets it. https://t.co/hoJPS2x1BM",43439
341,This will all be over very soon.,35761
342,Anyone in the Carolinas should evacuate immediately. Same with the other 48 states.,47697
343,You can skip church today. It's just the same old crap.,55579
344,Serena Williams is better at tennis than you are at whatever you are best at.,62340
345,"This made Jesus so happy he went out and bought a pair of Nikes.Cross Trainers, I believe. https://t.co/P5BEdmAdKG",57069
346,By this age I thought I’d be more successful.,36669
347,I miss you Barack.,94592
348,Jesus died for your sins but Trump lives for them.,29014
349,"Retweet this, because the ongoing success of this Twitter account is the only thing standing between you and the Armageddon you so richly deserve.",43832
350,It was a prank call. https://t.co/fJtZbl4yo1,100129
351,"Stop breeding, the lot of you.",38921
352,"Here are 50 stars, 13 stripes, seven mammals and zero living souls. https://t.co/pLvmTFH3gM",73643
353,There is zero chance Trump does not insult McCain within the next 48 hours. Zero chance.,36231
354,Retweet this and I’ll clog one of his arteries.,87267
355,So this turned into kind of a fun day.,43637
356,This is not a “joke” account. I am God. Fuck you for doubting Me.,49083
357,"To the man who just prayed to Me for a sports car and a big penis: sorry pal, but no one's got both.",64817
358,BREAKING NEWS: A man said raping kids is wrong. https://t.co/ZAn28zCWKO,22317
359,Stop kissing My ass and start not raping kids. https://t.co/hQEiqCQj75,78636
360,"When you kill in My name I feel like you don’t think I can kill for Myself, and that makes Me sad.",27587
361,The road to enlightenment always leads through the valley of morons.,23800
362,Donald Trump will at some point die. https://t.co/fn7bARoym5,29346
363,"If the aliens landed today and said ""Take me to your leader,"" I would be utterly humiliated.",48627
364,I'm not a racist but I don't like human people.,33230
365,Nobody truly not racist ever needs to say it.,24452
366,"My son is 2,000 years old and still lives with his parents. #loser",45143
367,I should apocalypse faster.,30885
368,Of course Putin is coming to America. You never invest in real estate without visiting it.,49053
369,It's My birthday. I'm ∞. But if anyone asks I'm 39.,47345
370,Retweeting Me is like missionary work only without the eradication of the majority of human cultures.,21067
371,"I’m deeply sorry for the racist, sexist and homophobic things I wrote when I was younger.",68108
372,"No matter what you think of Donald Trump, you have to admit: he's a piece of shit.",137093
373,"Just to clarify, when I said ""Thou shalt not commit adultery"" I meant ""Thou shalt not NOT commit adultery"".",24866
374,Did you like it when the lights went out on him? That was Me.,27085
375,I’d like to see some dirt on Trump. Six feet of it.,44142
376,Putin is grabbing Trump by the pussy.,83461
377,There’s no plan.,34967
378,"And now, back to the shit show.",29531
379,It’s #FridayThe13th and you know what that means: Nothing.,33693
